"id_provincia","year","value"
17,1988,0
18,1988,4
19,1988,0
20,1988,0
21,1988,4
22,1988,0
23,1988,0
24,1988,3
25,1988,0
27,1988,0
28,1988,18
29,1988,3
52,1988,0
30,1988,0
31,1988,1
32,1988,0
34,1988,0
35,1988,0
36,1988,0
26,1988,0
37,1988,0
40,1988,0
41,1988,18
42,1988,3
43,1988,1
38,1988,0
44,1988,0
45,1988,0
46,1988,6
47,1988,0
48,1988,4
49,1988,0
50,1988,2
1,1989,0
2,1989,0
3,1989,0
4,1989,0
33,1989,6
5,1989,0
6,1989,1
7,1989,2
8,1989,7
9,1989,0
10,1989,0
11,1989,0
39,1989,0
12,1989,0
51,1989,0
13,1989,0
14,1989,1
15,1989,0
16,1989,0
17,1989,0
18,1989,2
19,1989,0
20,1989,0
21,1989,1
22,1989,0
23,1989,0
24,1989,2
25,1989,0
27,1989,0
28,1989,22
29,1989,0
52,1989,0
30,1989,0
31,1989,0
32,1989,0
34,1989,0
35,1989,0
36,1989,0
26,1989,0
37,1989,0
40,1989,0
41,1989,8
42,1989,0
43,1989,0
38,1989,0
44,1989,0
45,1989,0
46,1989,1
47,1989,0
48,1989,5
49,1989,0
50,1989,0
1,1990,0
2,1990,0
3,1990,0
4,1990,0
33,1990,0
5,1990,0
6,1990,0
7,1990,2
8,1990,6
9,1990,0
10,1990,0
11,1990,3
39,1990,1
12,1990,0
51,1990,0
13,1990,0
14,1990,1
15,1990,0
16,1990,0
17,1990,0
18,1990,5
19,1990,2
20,1990,3
21,1990,6
22,1990,0
23,1990,0
24,1990,1
25,1990,0
27,1990,0
28,1990,20
29,1990,3
52,1990,0
30,1990,0
31,1990,3
32,1990,0
34,1990,0
35,1990,4
36,1990,0
26,1990,0
37,1990,0
40,1990,0
41,1990,15
42,1990,0
43,1990,0
38,1990,0
44,1990,0
45,1990,0
46,1990,0
47,1990,1
48,1990,4
49,1990,0
50,1990,0
1,1991,0
2,1991,0
3,1991,0
4,1991,0
33,1991,1
5,1991,0
6,1991,0
7,1991,0
8,1991,8
9,1991,0
10,1991,0
11,1991,0
39,1991,0
12,1991,0
51,1991,0
13,1991,0
14,1991,1
15,1991,0
16,1991,0
17,1991,0
18,1991,6
19,1991,2
20,1991,0
21,1991,1
22,1991,0
23,1991,1
24,1991,0
25,1991,0
27,1991,1
28,1991,27
29,1991,0
52,1991,0
30,1991,0
31,1991,1
32,1991,0
34,1991,0
35,1991,0
36,1991,0
26,1991,0
37,1991,0
40,1991,3
41,1991,12
42,1991,0
43,1991,3
38,1991,0
44,1991,0
45,1991,1
46,1991,3
47,1991,0
48,1991,2
49,1991,0
50,1991,1
1,1992,0
2,1992,0
3,1992,0
4,1992,3
33,1992,2
5,1992,0
6,1992,1
7,1992,1
8,1992,14
9,1992,0
10,1992,1
11,1992,5
39,1992,0
12,1992,0
51,1992,0
13,1992,0
14,1992,3
15,1992,0
16,1992,1
17,1992,0
18,1992,5
19,1992,2
20,1992,0
21,1992,6
22,1992,0
23,1992,0
24,1992,3
25,1992,0
27,1992,0
28,1992,14
29,1992,3
52,1992,0
30,1992,0
31,1992,0
32,1992,0
34,1992,0
35,1992,5
36,1992,0
26,1992,0
37,1992,1
40,1992,1
41,1992,24
42,1992,0
43,1992,0
38,1992,0
44,1992,0
45,1992,1
46,1992,16
47,1992,0
48,1992,3
49,1992,0
50,1992,0
1,1993,0
2,1993,0
3,1993,1
4,1993,1
33,1993,2
5,1993,0
6,1993,0
7,1993,0
8,1993,9
9,1993,0
10,1993,0
11,1993,1
39,1993,1
12,1993,0
51,1993,0
13,1993,0
14,1993,1
15,1993,0
16,1993,2
17,1993,0
18,1993,7
19,1993,1
20,1993,0
21,1993,1
22,1993,0
23,1993,0
24,1993,2
25,1993,0
27,1993,1
28,1993,15
29,1993,2
52,1993,0
30,1993,0
31,1993,0
